outer_fold,inner_fold,analysis_variant,information_protocol,approximation,rho_prior,hu_tau,model,alpha,training_block_hash,grammar_fit_hash,validation_scoreable_roots,pooled_root_balanced_mean_log_density,selected_alpha
0,2,all_strict,side_informed,laplace,uniform,20.0,current_only,0.01,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,0bf0f6d5e1ce6cb06543959b55a2cb4ae1f822f6e8d51ae41a86f1dff0ec21de,138,-0.5568870150675062,0.01
0,2,all_strict,side_informed,laplace,uniform,20.0,current_only,0.1,c3a17ae49362d3af3c889169dd61b790e7c0ea833118c8eb2e1b2cc8668b3073,5749e5bd00240a48a4de704a7ac615c6e02638c85aa830ec8c38307e8ef0ad53,138,-0.5578798093722469,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.0,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,db798f83df31b9c47f672351b31aa830b392b0c421a5ee0192ae39e1edea6a0d,139,-0.3078894764492226,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.0001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,88369518f659e527574170f97e63295f9413938ae03a85cfcaa2af926504c632,139,-0.3067727650947575,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.001,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,167d441221da89db1907c075161e9160bf3dd133bf4ad3f8cb886e0149f1acf3,139,-0.29942338480156505,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.01,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,705b7864351633747b7e653eedb6e7210154f1d442651f874af2e34cc238e2e9,139,-0.2856273260811906,0.01
0,0,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.1,ff71152f04ff3c17c4f535bdcd272443a47086eca1b6c90e413744cda8c3d050,a0a5668fe8fe7b5de0bc95362102963cba83ac56e2c50b467a36845ce0cd6b96,139,-0.3529404192824921,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.0,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,61bc7ae6451fb2b82df4eea5f57ea5237533d86fa0779322d763bf9d955eaf0a,136,-0.3078894764492226,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.0001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,fe016390be207637932165d7145b8cc3aac07ac0b3f06de3b3328a289c8143c1,136,-0.3067727650947575,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.001,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,8562f089f70595a638cb99c0d6610616d18f807ea88278c8bfa32abf422fcd95,136,-0.29942338480156505,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.01,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,e1d7ed5a68869e746eb4b7bb126baa52f9e4c4d29022ee746c02c5e77270e4b2,136,-0.2856273260811906,0.01
0,1,all_strict,side_informed,laplace,uniform,20.0,input_plus_surface,0.1,27a3bb4a6140f901a59aa471a99c58258a97e252dc1e140d0e5312309b75b41b,e147475b2f6484d5dbbbf2f74229c9a415fcd187d172144728a05f356620bbba,136,-0.3529404192824921,0.01
