speaker_split	tracker_id	start_offset_ms	end_offset_ms	paired_speaker_support	support_defined_n_ge_35	f1_20_positive_speakers	f1_20_zero_speakers	dress_minus_fleece_f1_20_median_hz	f2_20_positive_speakers	f2_20_zero_speakers	fleece_minus_dress_f2_20_median_hz	f1_30_positive_speakers	f1_30_zero_speakers	dress_minus_fleece_f1_30_median_hz	f2_30_positive_speakers	f2_30_zero_speakers	fleece_minus_dress_f2_30_median_hz	f1_40_positive_speakers	f1_40_zero_speakers	dress_minus_fleece_f1_40_median_hz	f2_40_positive_speakers	f2_40_zero_speakers	fleece_minus_dress_f2_40_median_hz	f1_50_positive_speakers	f1_50_zero_speakers	dress_minus_fleece_f1_50_median_hz	f2_50_positive_speakers	f2_50_zero_speakers	fleece_minus_dress_f2_50_median_hz	f1_60_positive_speakers	f1_60_zero_speakers	dress_minus_fleece_f1_60_median_hz	f2_60_positive_speakers	f2_60_zero_speakers	fleece_minus_dress_f2_60_median_hz	f1_70_positive_speakers	f1_70_zero_speakers	dress_minus_fleece_f1_70_median_hz	f2_70_positive_speakers	f2_70_zero_speakers	fleece_minus_dress_f2_70_median_hz	f1_80_positive_speakers	f1_80_zero_speakers	dress_minus_fleece_f1_80_median_hz	f2_80_positive_speakers	f2_80_zero_speakers	fleece_minus_dress_f2_80_median_hz	q_order_result
DEVELOPMENT_EVEN	T5000_W025	-10	20	47	DEFINED	47	0	213.239360502001	46	0	548.888613222469	47	0	251.142665206659	47	0	585.503071577624	47	0	269.345776924311	46	0	605.093427825836	47	0	268.810446351788	45	0	624.904511476839	47	0	260.244637511552	46	0	613.579588973901	47	0	239.375250095402	46	0	552.421860735069	47	0	217.459006141047	45	0	440.804655765560	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	0	-20	49	DEFINED	49	0	207.676698877697	48	0	481.429668228135	49	0	230.565873907548	49	0	511.467614141636	49	0	254.594461716363	49	0	524.263610056918	49	0	263.044290877281	49	0	540.891090609818	49	0	266.507729894897	48	0	582.187884918251	49	0	265.905664205296	48	0	573.931227764027	49	0	254.740595450736	48	0	564.372919378135	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	0	-10	49	DEFINED	49	0	214.119338114921	48	0	505.495944840517	49	0	238.943423322888	49	0	529.768396914610	49	0	260.945132416280	49	0	529.650061929605	49	0	270.511653372315	48	0	571.178334010531	49	0	269.373378291311	48	0	566.691896409811	49	0	257.346577798764	48	0	563.574339004303	49	0	245.016205275248	48	0	532.243206719815	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	0	0	49	DEFINED	49	0	221.068814868192	49	0	496.259490347955	49	0	244.115847876165	49	0	516.164030772404	49	0	263.085401093496	49	0	539.466035353477	49	0	270.769839638777	48	0	589.502018591099	49	0	263.499211616416	48	0	562.626074382496	49	0	252.284658590489	48	0	547.319623292193	49	0	238.084858274020	49	0	470.312337101670	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	0	10	48	DEFINED	48	0	232.707335633904	46	0	536.858237810828	48	0	258.199730908553	47	0	552.440593572121	48	0	266.843089510275	47	0	600.732452238225	48	0	264.633424570064	48	0	595.601607424731	48	0	253.967156994370	48	0	595.464817806370	48	0	247.433834191784	48	0	566.451726354203	48	0	230.931036644125	47	0	469.082806167521	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	0	20	48	DEFINED	48	0	238.962514241535	47	0	553.446408532099	48	0	260.307400909075	48	0	564.937367958483	48	0	270.900785374299	48	0	602.533790398622	48	0	267.445882271621	47	0	574.709078762875	48	0	250.689089100622	47	0	569.928472161401	48	0	238.323257851755	46	0	517.724195274947	48	0	217.752828403518	45	0	374.445421935355	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	10	-20	49	DEFINED	49	0	235.156377276751	49	0	509.416399864811	49	0	249.119000970740	49	0	515.500339095461	49	0	265.936383163972	49	0	540.556828595071	49	0	271.359503832442	48	0	566.372411897044	49	0	271.573441852202	48	0	562.844474618285	49	0	259.702370685591	48	0	571.418904282061	49	0	253.763194752337	48	0	561.260113611935	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	10	-10	49	DEFINED	49	0	239.075717186332	49	0	510.741544784464	49	0	256.869210092092	49	0	515.462157358768	49	0	265.858907958701	48	0	549.296240093873	49	0	271.972625287579	48	0	582.523091890500	49	0	265.780351722391	48	0	560.669583803796	49	0	255.746322993230	48	0	552.748555235516	49	0	244.742711077635	48	0	514.034784808959	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	10	0	49	DEFINED	49	0	240.417302820746	49	0	512.291569680210	49	0	260.708992891620	49	0	540.645980148670	49	0	270.181410922685	48	0	565.046610437964	49	0	270.709927705234	48	0	573.380468530849	49	0	261.793085408602	48	0	559.057355783290	49	0	245.811812009492	48	0	532.739193069856	49	0	230.308894759083	49	0	460.678012865204	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	10	10	49	DEFINED	49	0	246.421167738529	49	0	549.904258024652	49	0	263.480303639857	47	0	566.476147230007	49	0	269.218501374120	48	0	609.037680232309	49	0	267.535997583243	48	0	579.867151435290	49	0	254.659678941749	49	0	581.012308145751	49	0	247.824778583803	49	0	524.711753312184	49	0	226.672550045141	49	0	428.730808795968	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	10	20	48	DEFINED	48	0	250.887004983076	48	0	566.172715256974	48	0	264.408977142440	48	0	583.321871606222	48	0	263.986000028656	48	0	606.679022985931	48	0	264.072634653871	48	0	606.068823847080	48	0	244.262479179961	48	0	548.191244177668	48	0	236.051495193272	46	0	486.693948267942	46	0	207.547442062402	42	0	347.560412018986	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	20	-20	48	DEFINED	48	0	252.413241599216	48	0	518.502451958150	48	0	266.444621104495	48	0	537.413258957739	48	0	273.836641652159	47	0	537.436551236761	48	0	277.240818357519	47	0	570.302022721519	48	0	275.068105409199	47	0	564.894342297659	48	0	266.282798629998	47	0	556.602342999832	48	0	260.407424104206	47	0	523.159699674686	DEFINED_ALL_14_POSITIVE
DEVELOPMENT_EVEN	T5000_W025	20	-10	49	DEFINED	49	0	251.914296796132	49	0	518.694398939961	49	0	263.441690872915	48	0	547.672053861541	49	0	270.733755866447	49	0	567.901320800476	49	0	270.746100514878	48	0	572.230817323638	49	0	273.166917759182	48	0	557.825908440132	49	0	257.897349885811	48	0	545.643668246128	49	0	238.031013288372	47	0	517.206540671267	DEFINED_ALL_14_POSITIVE
