setting	metric	analysis_variant	information_protocol	approximation	regularization_view	model_a	model_b	roots	mean_log_score_a_minus_b	root_wins_a	root_ties	replicates	seed	conditional_95_lower	conditional_95_upper
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	current_only	515	0.2623373572970373	484	0	5000	2026092007	0.19831126663556797	0.3257505876327489
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	input_plus_surface	515	-0.003429652692943872	103	0	5000	2026092007	-0.015290722742500863	0.007537812005719971
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	HU_plus_surface	515	-0.018745079078936803	106	0	5000	2026092007	-0.04637306471546746	0.006077918470098738
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_bounded	retention_bounded_plus_HU	515	-0.009162074947350453	63	0	5000	2026092007	-0.023549507709882275	0.0034899932206232435
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_nonnegative	current_only	515	0.23995266683530525	481	0	5000	2026092007	0.16767430600958083	0.31142594836374277
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_nonnegative	input_plus_surface	515	-0.025814343154675866	374	0	5000	2026092007	-0.04754198071387385	-0.005764158149458319
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_nonnegative	HU_plus_surface	515	-0.0411297695406688	373	0	5000	2026092007	-0.07587972706208626	-0.008645944752300386
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	retention_nonnegative	retention_bounded_plus_HU	515	-0.031546765409082446	354	0	5000	2026092007	-0.051709077464933945	-0.013638257604945456
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	current_only	input_plus_surface	515	-0.2657670099899811	32	0	5000	2026092007	-0.32292545750073925	-0.20786431592117705
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	current_only	HU_plus_surface	515	-0.2810824363759741	31	0	5000	2026092007	-0.33598048168932887	-0.22698919353667046
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	current_only	retention_bounded_plus_HU	515	-0.27149943224438766	35	0	5000	2026092007	-0.33456418842701147	-0.20724747571726548
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	input_plus_surface	HU_plus_surface	515	-0.015315426385992929	130	0	5000	2026092007	-0.035076741194742744	0.0024415757523694893
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	input_plus_surface	retention_bounded_plus_HU	515	-0.005732422254406581	48	0	5000	2026092007	-0.019865834148233737	0.009421132158026091
uniform20	joint	all_agreeing_offsets	side_informed	gh80	selected	HU_plus_surface	retention_bounded_plus_HU	515	0.009583004131586349	51	0	5000	2026092007	-0.008699302696658561	0.028884508590514137
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_bounded	retention_nonnegative	515	0.02159534226450554	89	0	5000	2026092007	0.008594172351924343	0.035397380551874226
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_bounded	current_only	515	0.3074186408510076	483	0	5000	2026092007	0.24121787901340092	0.3731289307874334
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_bounded	input_plus_surface	515	0.006237870700097639	61	0	5000	2026092007	-0.011176082637647425	0.02317615150385245
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_bounded	HU_plus_surface	515	-0.009214280840863913	67	0	5000	2026092007	-0.04421268630615251	0.022636688207570737
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_bounded	retention_bounded_plus_HU	515	-0.018700889389337085	80	0	5000	2026092007	-0.03895961689918053	-0.001347370789342947
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_nonnegative	current_only	515	0.28582329858650213	480	0	5000	2026092007	0.21022512214282615	0.3614507830392266
uniform20	joint	all_agreeing_offsets	wholly_unseen	laplace	selected	retention_nonnegative	input_plus_surface	515	-0.015357471564407905	414	0	5000	2026092007	-0.04305898945984828	0.01190923160500305
