setting	analysis_variant	information_protocol	approximation	model	regularization_view	roots	incidences	root_balanced_joint	incidence_weighted_joint	root_balanced_raising	root_balanced_harmony_old_vs_opposite
half20	all_agreeing_offsets	side_informed	laplace	HU_plus_surface	selected	515	58577	-0.27691788297680237	-0.10396350218857277	-0.10683706493079072	-0.1737625538979097
half20	all_agreeing_offsets	side_informed	laplace	retention_bounded_plus_HU	selected	515	58577	-0.2812453077394868	-0.09125383452037454	-0.10351365625242472	-0.18078188243179233
half20	all_agreeing_offsets	side_informed	not_applicable	current_only	selected	515	58577	-0.5592051085653056	-0.31790913164186313	-0.12708661721229586	-0.458642957637657
half20	all_agreeing_offsets	side_informed	not_applicable	input_plus_surface	selected	515	58577	-0.29344596299356385	-0.10162797222073787	-0.10822023753227082	-0.19031478227655646
half20	all_agreeing_offsets	side_informed	not_applicable	retention_bounded	selected	515	58577	-0.2968194070486041	-0.09798299157975206	-0.103088235456438	-0.19870804341151072
half20	all_agreeing_offsets	side_informed	not_applicable	retention_nonnegative	selected	515	58577	-0.3160396397664419	-0.09278664417500244	-0.10320882872114201	-0.2185962836280058
half20	all_agreeing_offsets	wholly_unseen	gh80	HU_plus_surface	selected	515	58577	-0.5612880904805855	-0.7715579719253175	-0.38399624088613815	-0.18609904658792512
half20	all_agreeing_offsets	wholly_unseen	gh80	retention_bounded_plus_HU	selected	515	58577	-0.5518775329588883	-0.7525486785505097	-0.37311246090097466	-0.18647492162379264
half20	all_agreeing_offsets	wholly_unseen	laplace	HU_plus_surface	selected	515	58577	-0.5588859926557421	-0.7771728529960876	-0.3843243754290285	-0.1854424828911295
half20	all_agreeing_offsets	wholly_unseen	laplace	retention_bounded_plus_HU	selected	515	58577	-0.5492155281119712	-0.7555760060144358	-0.3747021213859207	-0.1819593478028224
half20	all_agreeing_offsets	wholly_unseen	not_applicable	current_only	selected	515	58577	-0.8756981260368129	-1.019947560769963	-0.4435796346838032	-0.5098105746927538
half20	all_agreeing_offsets	wholly_unseen	not_applicable	input_plus_surface	selected	515	58577	-0.5743284469668627	-0.7759311411477845	-0.38910272150556985	-0.19693153699927682
half20	all_agreeing_offsets	wholly_unseen	not_applicable	retention_bounded	selected	515	58577	-0.5679227832239246	-0.7611200907027661	-0.37419161163175846	-0.20510192170035707
half20	all_agreeing_offsets	wholly_unseen	not_applicable	retention_nonnegative	selected	515	58577	-0.5893870676958808	-0.7534660039505507	-0.37655625665058085	-0.22555788680350247
half20	all_strict	side_informed	gh80	HU_plus_surface	selected	515	58577	-0.2799675752280605	-0.10520066462003014	-0.10838682859988022	-0.17506479977214584
half20	all_strict	side_informed	gh80	retention_bounded_plus_HU	selected	515	58577	-0.2979104363847814	-0.09634359362824621	-0.11114824754687243	-0.1914023203831663
half20	all_strict	side_informed	laplace	HU_plus_surface	selected	515	58577	-0.27831901507738516	-0.10663362501940972	-0.10784661310183602	-0.17347570812402066
half20	all_strict	side_informed	laplace	retention_bounded_plus_HU	selected	515	58577	-0.2910804409305414	-0.09580507918830578	-0.11080620872988592	-0.18454330512419748
half20	all_strict	side_informed	not_applicable	current_only	selected	515	58577	-0.549155209013925	-0.31322268930556163	-0.11703671766091532	-0.4399666897993784
half20	all_strict	side_informed	not_applicable	input_plus_surface	selected	515	58577	-0.29714479736784166	-0.10450649935770932	-0.1108051662291751	-0.19240508766425532
